3147 Mmult          $Matrix Multiply
3163 Nbeigval       $Eigenvalues without Balancing
3164 Nbeigvec       $Eigenvectors without Balancing
3158 QR             $QR Decomposition
3159 Schur          $Schur Decomposition
3157 SVD            $Singular Value Decomposition
3152 Transpose      $Swap Rows and Columns
3156 ULU            $Upper Triangle of LU Decomposition
3160 Uschur         $Unitary Schur Decomposition

3167 Display Extremes $Display Min & Max
3344 Fmax             $Find Maximum
3345 Fmin             $Find Minimum
3169 Fpeak            $Find First Peak
3170 Fpeakn           $Find Next Peak
3171 Fpeakp           $Find Previous Peak
3172 Getpeak          $Get Peak Values
3176 Getvalley        $Get Valley Values
3173 Fvall            $Find First Valley
3174 Fvalln           $Find Next Valley     
3175 Fvallp           $Find Previous Valley

3326 Delay                 $Prepend Zeros to a Series
3066 Grade                 $Arrange Indices in Ascending or Descending Order
3063 Lookup                $Address a Series Based on Indices
3068 Ravel into Segments   $Divide Series into Equal Segments Ravel
3248 Ravel into Table      $Combine Series into Multicolumn Table Ravel
3067 Reorder               $Address a Long Series Based on Indices
3070 Reshape               $Divide Series into Arbitrary Segments
3065 Sort                  $Arrange in Ascending or Descending Order
3064 Transpose             $Swap Rows and Columns
3069 Unravel               $Convert Multicolumn Table to Series
3359 Xylookup              $Lookup Y Values Based on Arbitrary X Values

3325 Bitquant       $Quantize to 2^N Bits
3323 Filteq         $Digital Difference Equation Evaluation
3355 Shp            $Digital Single Pole High Pass Filter
3354 Slp            $Digital Single Pole Low Pass Filter
3324 Zfreq          $Z Transform Frequency Response
3361 Impz           $Z Transform Impulse Response
3362 Zplane         $Z Transform Pole-Zero Plot
3363 Residue(z)     $Partial Fraction Expansion of a Transfer Function
3373 Grpdelay       $Z Transform Group Delay


3242 Collength                $Length of Columns
3241 Colmax                   $Maximum of Columns
3072 Colmean                  $Mean of Columns
3239 Colmedian                $Median of Columns
3240 Colmin                   $Minimum of Columns
3329 Colprod                  $Product of Columns
3238 Colstdev                 $Standard Deviation of Columns
3328 Colsum                   $Sum of Columns
3346 Descriptive Statistics   $Max, Min, Mean, Stdev, etc. Statistics and Calculus
3073 Errorbar                 $Create Error Bar Chart
3074 Histogram                $Equal Bin Histogram
3349 Invprobn                 $z Value of Probability of X <= z
3075 Linreg                   $Linear Regression
3347 Pdfnorm                  $Normal Distribution Density Function
3076 Polyfit                  $Polynomial Regression Coefficients
3078 Polygraph                $Polynomial Regression Curve
3353 Polyroot                 $Find Polynomial Roots using Companion Matrix
3348 Probn                    $Probability of X <= z for Normal Distribution
3368 Rowlen                   $Length of Rows
3367 Rowmax                   $Maximum of Rows
3371 Rowmean                  $Mean of Rows
3366 Rowmin                   $Minimum of Rows
3370 Rowprod                  $Product of Rows
3365 Rowstdev                 $Standard Deviation of Rows
3369 Rowsum                   $Sum of Rows


3102 Acos                     $Inverse Cos
3106 Acot                     $Inverse Tangent
3105 Acsc                     $Inverse Csc
3101 Asin                     $Inverse Sin
3104 Asec                     $Inverse Sec
3103 Atan                     $Inverse Tan
3095 Cos                      $Cosine
3099 Cot                      $Cotangent
3098 Csc                      $Cosecant
3094 Sin                      $Sine
3100 Sinc                     $Sin(x)/x
3097 Sec                      $Secant
3096 Tan                      $Tangent

3283 Label                    $View Window Labels
3194 Title                    $View Window Title

3177 Lines                    $Display Series as Lines
3178 Points                   $Display Series as Unconnected Points
3179 Sticks                   $Display Series as Vertical Lines
3180 Bars                     $Display Series a Vertical Bars
3181 Table                    $Display Series as a Table
3182 Steps                    $Display Series as a Staircase
